As1,As2,As3,As4,As5,As6,Final,Final1,Final2,Final3,Final4,Final5,Proj,Proj1,Qz1,Qz2,Qz3,Qz4,Qz5,Qz6,Qz7,Qz8,Mid1,Mid2
3.0,3.0,3.0,3.0,3.0,3.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0
130.0,70.0,90.0,50.0,120.0,90.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,10.0,10.0,10.0,5.0,12.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.5,60.5,73.5,40.5,59.0,70.5,16.08,35.75,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,2.0,8.0,0.0,2.5,9.0,2.0,6.56,2.34
72.5,68.0,39.0,35.0,80.5,71.0,24.07,53.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,0.0,10.0,7.0,5.0,10.0,2.0,4.68,4.12
113.0,62.0,0.0,47.0,80.0,80.0,14.62,32.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.5,1.0,1.0,2.0,1.0,12.0,2.0,3.56,2.43
61.0,43.5,0.0,22.0,0.0,50.0,12.6,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,0.5,0.0,0.0,1.0,3.0,0.0,6.93,3.37
104.0,67.0,72.5,45.0,120.0,90.0,33.63,74.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.5,10.0,10.0,6.5,5.0,9.0,2.0,10.68,6.56
0.0,52.0,61.0,20.5,55.0,58.0,17.77,39.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.5,1.5,0.0,8.0,4.0,3.0,2.0,3.93,1.5
118.0,62.0,85.5,39.5,109.0,90.0,31.72,70.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.5,9.5,10.0,7.0,4.5,10.0,2.0,8.53,5.15
0.0,47.0,44.0,23.0,51.0,0.0,5.96,13.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.5,0.0,1.0,0.0,3.0,0.0,2.43,1.87
105.0,65.0,67.5,47.0,93.0,87.0,26.21,58.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5,8.5,0.0,1.0,1.0,2.0,9.0,2.0,5.25,9.09
113.0,59.0,51.5,33.0,66.0,49.0,12.48,27.75,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.0,0.5,0.0,0.0,1.5,2.0,2.0,3.37,1.78
0.0,65.5,60.5,28.0,62.0,73.0,27.22,60.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,6.5,9.0,10.0,10.0,3.5,8.0,2.0,5.53,6.56
105.0,60.0,39.5,50.0,80.0,89.0,18.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,1.0,1.0,1.5,7.0,2.0,5.81,2.34
