RQ,Model,MAE,RMSE,R2
RQ1 (Mid1),Simple Linear,2.6869575039885967,3.4918641509291235,-0.25828511130082243
RQ1 (Mid1),Multiple Linear,2.290455716312454,3.386799147484311,-0.1837044018980971
RQ1 (Mid1),Polynomial (deg=2),2.708186568058911,3.458664305046286,-0.2344718831736068
RQ1 (Mid1),Dummy,2.6671906158357763,3.395358522283675,-0.18969505683377497
RQ2 (Mid2),Simple Linear,1.9783606144215475,2.316323697764789,0.6173613632856212
RQ2 (Mid2),Multiple Linear,1.9448195614198989,2.3638036883696265,0.6015139414546087
RQ2 (Mid2),Polynomial (deg=2),1.6888142117375173,2.2046595426749067,0.6533642232348524
RQ2 (Mid2),Dummy,3.081879346459992,3.8319509083874768,-0.04720134923135788
RQ3 (Final),Simple Linear,8.021945305810524,10.421916727279337,-0.15381796162055084
RQ3 (Final),Multiple Linear,3.81542709912493,5.121639871442197,0.7213492775600063
RQ3 (Final),Polynomial (deg=2),4.740987627951325,6.265195005658533,0.5830237838900555
RQ3 (Final),Dummy,8.148515291160452,10.091072804248856,-0.08172477570264713
